"DATA","VALOR","DESPESAS"
2017-03-22 00:00:00.000,"4131.0200",-1
2017-03-22 00:00:00.000,"8675.5000",-1
2017-03-22 00:00:00.000,"2.4800",-1
2017-03-22 00:00:00.000,"2.4800",-1
2017-03-22 00:00:00.000,"311.7200",-1
2017-04-04 00:00:00.000,"123.9000",-1
2017-04-05 00:00:00.000,"266.1500",-1
2017-04-05 00:00:00.000,"266.1500",-1
2017-04-20 00:00:00.000,"4.8700",-1
2017-04-20 00:00:00.000,"517.8000",-1
2017-04-20 00:00:00.000,"517.8000",-1
2017-04-20 00:00:00.000,"88.5000",-1
2017-04-20 00:00:00.000,"4251.0000",-1
2017-04-20 00:00:00.000,"4365.0800",-1
2017-04-24 00:00:00.000,"1830.9000",-1
2017-04-24 00:00:00.000,"1830.9000",-1
2017-04-24 00:00:00.000,"69.4800",-1
2017-04-24 00:00:00.000,"2760.5000",-1
2017-04-24 00:00:00.000,"500.0000",-1
2017-04-24 00:00:00.000,"7674.5500",-1
2017-04-25 00:00:00.000,"165.8800",-1
2017-04-25 00:00:00.000,"72.0500",-1
2017-04-25 00:00:00.000,"1157.7200",-1
2017-04-25 00:00:00.000,"4707.1500",-1
2017-04-25 00:00:00.000,"4811.9900",-1
2017-04-25 00:00:00.000,"6540.8000",-1
2017-04-27 00:00:00.000,"5106.6600",-1
2017-04-27 00:00:00.000,"23.8700",-1
2017-05-04 00:00:00.000,"1369.0000",-1
2017-05-04 00:00:00.000,"1369.0000",-1
2017-05-04 00:00:00.000,"1369.0000",-1
2017-05-04 00:00:00.000,"866.6000",-1
2017-05-04 00:00:00.000,"1825.5000",-1
2017-05-04 00:00:00.000,"30.0400",-1
2017-05-05 00:00:00.000,"1496.5000",-1
2017-05-05 00:00:00.000,"2879.5600",-1
2017-05-23 00:00:00.000,"1244.6500",-1
2017-05-23 00:00:00.000,"24.4500",-1
2017-05-25 00:00:00.000,"220.3200",-1
2017-05-25 00:00:00.000,"220.3200",-1
2017-05-31 00:00:00.000,"152.9500",-1
2017-06-01 00:00:00.000,"60775.4700",-1
2017-06-01 00:00:00.000,"404.6500",-1
2017-06-01 00:00:00.000,"799.6800",-1
2017-06-02 00:00:00.000,"16.0700",-1
2017-06-02 00:00:00.000,"6.4400",-1
2017-06-05 00:00:00.000,"274.5500",-1
2017-06-06 00:00:00.000,"1498.2200",-1
2017-12-15 00:00:00.000,"391.1500",-1
2017-12-18 00:00:00.000,"499.5000",-1
2017-12-18 00:00:00.000,"1329.5500",-1
2017-12-18 00:00:00.000,"1333.2700",-1
2017-12-19 00:00:00.000,"263.3500",-1
2017-12-19 00:00:00.000,"263.3500",-1
2017-12-21 00:00:00.000,"18.5900",-1
2017-12-21 00:00:00.000,"5.8800",-1
2017-12-29 00:00:00.000,"1328.6800",-1
2018-01-02 00:00:00.000,"263.8300",-1
2018-01-02 00:00:00.000,"263.8300",-1
2018-01-02 00:00:00.000,"1335.8100",-1
2018-02-28 00:00:00.000,"130.1000",-1
2018-03-09 00:00:00.000,"37.8000",-1
2018-05-03 00:00:00.000,"754.2700",-1
2018-05-03 00:00:00.000,"732.3000",-1
2018-05-03 00:00:00.000,"130.1000",-1
2018-05-03 00:00:00.000,"123.9000",-1
2018-05-04 00:00:00.000,"1302.8500",-1
2018-05-04 00:00:00.000,"6.2600",-1
2018-05-04 00:00:00.000,"1267.8000",-1
2018-05-16 00:00:00.000,"37.7000",-1
2018-05-21 00:00:00.000,"5.7800",-1
2018-05-21 00:00:00.000,"50.0000",-1
2018-05-21 00:00:00.000,"150.0000",-1
2018-05-21 00:00:00.000,"150.0000",-1
2018-05-21 00:00:00.000,"65.2600",-1
2018-05-21 00:00:00.000,"60.0000",-1
2018-05-22 00:00:00.000,"166.2900",-1
2018-05-22 00:00:00.000,"7155.7500",-1
2018-05-22 00:00:00.000,"304741.0000",-1
2018-05-22 00:00:00.000,"315407.2600",-1
2018-05-22 00:00:00.000,"548.0000",-1
2018-05-22 00:00:00.000,"457.0000",-1
2018-05-22 00:00:00.000,"7381.6600",-1
2018-05-22 00:00:00.000,"19.5800",-1
2018-05-23 00:00:00.000,"2715.0000",-1
2018-05-23 00:00:00.000,"150.1000",-1
2018-05-23 00:00:00.000,"60000.0000",-1
2018-05-23 00:00:00.000,"8025.0000",-1
2018-05-23 00:00:00.000,"60000.0000",-1
2018-05-23 00:00:00.000,"300.0000",-1
2018-05-23 00:00:00.000,"19.5800",-1
2018-05-24 00:00:00.000,"12346.4300",-1
2018-05-24 00:00:00.000,"12346.4300",-1
2018-05-24 00:00:00.000,"8676.9000",-1
2018-05-24 00:00:00.000,"300.0000",-1
2018-05-24 00:00:00.000,"100.0000",-1
2018-05-24 00:00:00.000,"52.2000",-1
2018-05-24 00:00:00.000,"0.0500",-1
2018-05-24 00:00:00.000,"7.0000",-1
2018-05-24 00:00:00.000,"0.0300",-1
2018-05-24 00:00:00.000,"16250.0000",-1
2018-05-24 00:00:00.000,"16503.8000",-1
2018-05-25 00:00:00.000,"405.1800",-1
2018-05-28 00:00:00.000,"1716.0000",-1
2018-05-28 00:00:00.000,"50.0000",-1
2018-05-28 00:00:00.000,"16250.0000",-1
2018-05-28 00:00:00.000,"16503.8000",-1
2018-05-28 00:00:00.000,"933.5000",-1
2018-05-28 00:00:00.000,"50.0000",-1
2018-05-28 00:00:00.000,"466.7500",-1
2018-05-28 00:00:00.000,"25.0000",-1
2018-05-28 00:00:00.000,"189.0800",-1
2018-05-28 00:00:00.000,"466.7500",-1
2018-06-06 00:00:00.000,"13040.0000",-1
2018-07-12 00:00:00.000,"50.0000",-1
2018-07-20 00:00:00.000,"13040.0000",-1
2018-07-20 00:00:00.000,"13040.0000",-1
2018-07-20 00:00:00.000,"100.0000",-1
2018-07-20 00:00:00.000,"5000.0000",-1
2018-07-20 00:00:00.000,"1546.0000",-1
2018-07-20 00:00:00.000,"500.0000",-1
2018-07-20 00:00:00.000,"1407.0000",-1
2018-07-20 00:00:00.000,"100.0000",-1
2018-07-24 00:00:00.000,"366900.0000",-1
2018-07-24 00:00:00.000,"500.0000",-1
2018-07-24 00:00:00.000,"500.0000",-1
2018-07-24 00:00:00.000,"500.0000",-1
2018-07-24 00:00:00.000,"14070.0000",-1
2018-07-24 00:00:00.000,"14676.0000",-1
2018-07-24 00:00:00.000,"627600.0000",-1
2018-07-25 00:00:00.000,"196252.6300",-1
2018-07-26 00:00:00.000,"196252.6200",-1
2018-07-31 00:00:00.000,"168.0300",-1
