"DATA","VALOR","PROVISÃO"
2016-02-12 00:00:00.000,"800.0000",0
2016-02-12 00:00:00.000,"480.8500",0
2016-02-15 00:00:00.000,"147.5000",0
2016-02-15 00:00:00.000,"198.1000",0
2016-02-15 00:00:00.000,"147.5000",0
2016-02-17 00:00:00.000,"428.7000",0
2016-02-17 00:00:00.000,"159.4500",0
2016-04-07 00:00:00.000,"319.6000",0
2016-04-26 00:00:00.000,"2593.0000",0
2016-04-26 00:00:00.000,"1582.2000",0
2016-10-18 00:00:00.000,"65.4800",0
2017-03-22 00:00:00.000,"151.6000",0
2017-03-22 00:00:00.000,"2.4800",0
2017-04-04 00:00:00.000,"61.9500",0
2017-04-20 00:00:00.000,"960.6000",0
2017-04-24 00:00:00.000,"1275.6000",0
2017-04-24 00:00:00.000,"2760.5000",0
2017-04-25 00:00:00.000,"167.7500",0
2017-04-25 00:00:00.000,"1124.0000",0
2017-04-25 00:00:00.000,"214.8000",0
2017-04-25 00:00:00.000,"214.8000",0
2017-04-27 00:00:00.000,"4940.4000",0
2017-04-27 00:00:00.000,"345.0300",0
2017-04-27 00:00:00.000,"54.1100",0
2017-05-04 00:00:00.000,"1825.5000",0
2017-05-04 00:00:00.000,"84.6000",0
2017-05-05 00:00:00.000,"246.8200",0
2017-05-05 00:00:00.000,"1496.5000",0
2017-05-05 00:00:00.000,"211.6700",0
2017-05-05 00:00:00.000,"211.6700",0
2017-05-23 00:00:00.000,"1244.6500",0
2017-05-23 00:00:00.000,"196.0900",0
2017-05-24 00:00:00.000,"166.0300",0
2017-05-24 00:00:00.000,"166.0200",0
2017-05-25 00:00:00.000,"587.3100",0
2017-05-26 00:00:00.000,"73.3400",0
2017-05-31 00:00:00.000,"152.9500",0
2017-06-01 00:00:00.000,"1064.1200",0
2017-06-01 00:00:00.000,"799.6800",0
2017-06-01 00:00:00.000,"583.3800",0
2017-06-02 00:00:00.000,"31.2000",0
2017-06-02 00:00:00.000,"15.6000",0
2017-06-02 00:00:00.000,"695.6800",0
2017-06-02 00:00:00.000,"1192.7200",0
2017-06-02 00:00:00.000,"30.7000",0
2017-06-05 00:00:00.000,"274.5500",0
2017-06-05 00:00:00.000,"284.8600",0
2017-06-05 00:00:00.000,"133.5000",0
2017-06-05 00:00:00.000,"46.8500",0
2017-06-05 00:00:00.000,"46.8500",0
2017-06-05 00:00:00.000,"76.8400",0
2017-06-05 00:00:00.000,"76.8400",0
2017-06-05 00:00:00.000,"249.4000",0
2017-06-06 00:00:00.000,"999.2500",0
2017-06-06 00:00:00.000,"126.6900",0
2017-06-06 00:00:00.000,"77.7800",0
2017-06-06 00:00:00.000,"77.7700",0
2017-06-06 00:00:00.000,"48.6500",0
2017-06-06 00:00:00.000,"1807.1600",0
2017-06-06 00:00:00.000,"1700.0100",0
2017-12-22 00:00:00.000,"403.5800",0
2018-01-16 00:00:00.000,"3591.2500",0
2018-03-09 00:00:00.000,"39.1600",0
2018-05-03 00:00:00.000,"66.3700",0
2018-05-03 00:00:00.000,"370.6000",0
2018-05-03 00:00:00.000,"50.5800",0
2018-05-16 00:00:00.000,"1651.1700",0
2018-05-16 00:00:00.000,"215.4700",0
2018-05-21 00:00:00.000,"5.7800",0
2018-05-22 00:00:00.000,"344.5000",0
2018-05-22 00:00:00.000,"91.0000",0
2018-05-23 00:00:00.000,"2727.4700",0
2018-05-23 00:00:00.000,"8025.0000",0
2018-05-25 00:00:00.000,"34091.6100",0
2018-05-28 00:00:00.000,"1716.0000",0
2018-06-06 00:00:00.000,"13040.0000",0
2018-07-12 00:00:00.000,"146.7700",0
2018-07-24 00:00:00.000,"366900.0000",0
2018-10-29 00:00:00.000,"250.0000",0
2018-10-29 00:00:00.000,"1000.0000",0
2020-08-24 00:00:00.000,"1000.0000",0
2020-08-24 00:00:00.000,"1000.0000",0
2021-06-12 00:00:00.000,"177.0000",0
2023-12-14 00:00:00.000,"50.0000",0
2023-12-14 00:00:00.000,"50.0000",0
2023-12-14 00:00:00.000,"50.0000",0
2024-01-02 00:00:00.000,"100.0000",0
2024-01-02 00:00:00.000,"25.0000",0
2024-01-20 00:00:00.000,"120.0000",0
